V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,mTurkCode,Q26,Q1,Q2,Q2,Q45_7,Q45_9,Q20_7,Q20_9,Q18_6,Q18_7,Q26_7,Q26_9,Q18_4,Q18_5,Q19_4,Q19_5,Q19_1,Q19_2,Q8,Q9,Q15,Q16,Q12,DO-BR-FL_17,DO-BR-FL_35,DO-BR-FL_31,DO-BR-FL_48,DO-BR-FL_56,DO-BR-FL_52,DO-BL-Treatment,DO-BL-Control,DO-Q-Q1,DO-Q-Q2,LocationLatitude,LocationLongitude,LocationAccuracy,
R_UQRTsS1oJ8r1swV,Default Response Set,Anonymous,,,142.196.108.38,0,2016-04-23 17:56:14,2016-04-23 17:59:49,1,260852,45-54,Democrat,Strong,,,,,,,,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Slightly familiar,Very familiar,Female,4-year College Degree,Sales and office ,"Single, never married",Florida,,,Control,,,,,Q26|Q19|Q18,3|2|1,1|2,28.306900024414,-81.424598693848,-1,
R_tKEHQTFOoww3atX,Default Response Set,Anonymous,,,38.109.215.6,0,2016-04-23 18:06:31,2016-04-23 18:09:58,1,2387508,55-64,Democrat,Moderate,,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,,,,,,,Extremely familiar,Extremely familiar,Male,4-year College Degree,Other,Divorced,Colorado,,,Treatment,,,,Q45|Q20|Q18,,3|2|1,2|1,38.561904907227,-106.11530303955,-1,
R_3L5Q6MWqfk1flVU,Default Response Set,Anonymous,,,50.83.178.171,0,2016-04-23 18:10:10,2016-04-23 18:16:20,1,3872241,55-64,Independent,,Democrat,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,,,,,,,Extremely familiar,Extremely familiar,Female,High School / GED,Unemployed,Widowed,Illinois,,,Treatment,,,,Q45|Q18|Q20,,1|2|3,2|1,41.126602172852,-88.84529876709,-1,
R_2330YMltEbCUTkO,Default Response Set,Anonymous,,,74.214.186.235,0,2016-04-23 18:14:40,2016-04-23 18:19:05,1,7289836,45-54,Independent,,Republican,,,,,,,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Extremely familiar,Slightly familiar,Female,High School / GED,Retired,Married with children,Kentucky,,,,,,Control,,Q26|Q18|Q19,2|3|1,2|1,37.481094360352,-82.653701782227,-1,
R_9WQBkP2HZCkloKR,Default Response Set,Anonymous,,,70.245.65.54,0,2016-04-23 18:16:55,2016-04-23 18:19:47,1,9649390,18-25,Democrat,Moderate,,,,,,,,Agree,Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Extremely familiar,Extremely familiar,Male,Some College,Unemployed,"Single, never married",Texas,Control,,,,,,,Q26|Q19|Q18,1|3|2,1|2,29.977905273438,-95.577003479004,-1,
R_d06fP5oBEl28bPb,Default Response Set,Anonymous,,,68.186.155.119,0,2016-04-23 18:24:20,2016-04-23 18:28:43,1,7565054,26-34,Independent,,Republican,Strongly Agree,Disagree,Neither Agree nor Disagree,Agree,Strongly Agree,Strongly Agree,,,,,,,Extremely familiar,Slightly familiar,Female,4-year College Degree,Other,"Single, never married",North Carolina,,,,,Treatment,,Q45|Q18|Q20,,2|3|1,2|1,35.897094726562,-75.682601928711,-1,
R_25HFwRNA0Ym5M9O,Default Response Set,Anonymous,,,73.246.98.161,0,2016-04-23 18:42:34,2016-04-23 18:45:49,1,3627533,35-44,Independent,,Republican,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,,,,,,,Extremely familiar,Extremely familiar,Male,High School / GED,Other,"Single, never married",Illinois,,,,,,Treatment,Q45|Q20|Q18,,1|2|3,2|1,41.946304321289,-87.812698364258,-1,
R_3ElN7F2cojXhLxZ,Default Response Set,Anonymous,,,24.121.199.173,0,2016-04-23 18:44:20,2016-04-23 18:48:46,1,1642012,35-44,Independent,,Republican,,,,,,,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Disagree,Disagree,Disagree,Very familiar,Very familiar,Male,Some College,Other,Living w/ partner,Arizona,,,,,,Control,,Q26|Q18|Q19,1|3|2,1|2,35.298492431641,-111.32520294189,-1,
R_vNPT1KFj8IU5SJX,Default Response Set,Anonymous,,,74.85.206.4,0,2016-04-23 18:44:52,2016-04-23 18:50:10,1,4052714,45-54,Republican,Moderate,,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,,,,,,,Very familiar,Slightly familiar,Male,High School / GED,"Production, transportation, and material moving ",Married with children,Idaho,,,,,,Treatment,Q45|Q18|Q20,,3|2|1,1|2,43.428497314453,-112.00409698486,-1,
R_2cbEoYmpBA6bbXG,Default Response Set,Anonymous,,,75.83.27.145,0,2016-04-23 18:53:19,2016-04-23 18:54:32,1,8255435,18-25,Independent,,Republican,,,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Moderately familiar,Moderately familiar,Male,4-year College Degree,Other,Married without children,California,,,,Control,,,,Q26|Q19|Q18,3|2|1,2|1,34.202301025391,-118.44680023193,-1,
R_3nIfnpJZVThpaLC,Default Response Set,Anonymous,,,108.84.117.21,0,2016-04-23 18:55:37,2016-04-23 18:58:34,1,5288523,45-54,Democrat,Weak,,,,,,,,Agree,Agree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Agree,Extremely familiar,Extremely familiar,Female,4-year College Degree,Sales and office ,Divorced,Florida,,,Control,,,,,Q26|Q18|Q19,1|3|2,2|1,26.348403930664,-80.218696594238,-1,
R_2aCZIGyPOaH1FjW,Default Response Set,Anonymous,,,96.227.254.89,0,2016-04-23 18:55:01,2016-04-23 18:59:58,1,806481,35-44,Independent,,Democrat,,,,,,,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Moderately familiar,Slightly familiar,Female,Less than High School,Unemployed,Married with children,Pennsylvania,,,Control,,,,,Q26|Q19|Q18,3|2|1,2|1,39.894195556641,-75.445602416992,-1,
R_2CNZRFjuJE81MIa,Default Response Set,Anonymous,,,104.230.111.192,0,2016-04-23 19:09:53,2016-04-23 19:11:17,1,8508319,18-25,Independent,,Democrat,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Disagree,,,,,,,Extremely familiar,Extremely familiar,Female,High School / GED,Unemployed,"Single, never married",Ohio,Treatment,,,,,,Q45|Q18|Q20,,1|3|2,2|1,41.20979309082,-80.49340057373,-1,
R_1DqV2uWK5wHi1FH,Default Response Set,Anonymous,,,66.253.249.229,0,2016-04-23 19:10:53,2016-04-23 19:13:50,1,9099819,18-25,Republican,Moderate,,Agree,Agree,Agree,Agree,Agree,Agree,,,,,,,Very familiar,Moderately familiar,Male,Some College,Unemployed,"Single, never married",Alabama,,,,Treatment,,,Q45|Q18|Q20,,1|2|3,2|1,32.600494384766,-85.583396911621,-1,
R_3rCggk9URqoxiLL,Default Response Set,Anonymous,,,72.214.28.229,0,2016-04-23 19:12:31,2016-04-23 19:14:48,1,6948636,26-34,Republican,Moderate,,,,,,,,Agree,Agree,Neither Agree nor Disagree,Agree,Strongly Agree,Agree,Very familiar,Very familiar,Male,Masters Degree,Service ,Married without children,California,,,,,Control,,,Q26|Q18|Q19,1|2|3,2|1,32.795196533203,-116.96710205078,-1,
R_2QPxsvABW2DaNmh,Default Response Set,Anonymous,,,104.166.219.14,0,2016-04-23 19:16:59,2016-04-23 19:21:18,1,8509498,26-34,Democrat,Moderate,,,,,,,,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Agree,Slightly familiar,Slightly familiar,Male,Some College,"Management, professional, and related ",Living w/ partner,Missouri,,Control,,,,,,Q26|Q19|Q18,2|3|1,1|2,38.551605224609,-92.27449798584,-1,
R_2zVbaMuK5jyUd4p,Default Response Set,Anonymous,,,73.235.19.20,0,2016-04-23 19:31:48,2016-04-23 19:34:42,1,3614547,26-34,Independent,,Democrat,,,,,,,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Disagree,Moderately familiar,Moderately familiar,Male,2-year College Degree,Other,"Single, never married",California,,Control,,,,,,Q26|Q19|Q18,2|1|3,1|2,39.901000976562,-121.83059692383,-1,
R_pF6d40Yi8skIOxH,Default Response Set,Anonymous,,,68.99.135.59,0,2016-04-23 19:31:08,2016-04-23 19:34:55,1,7082863,26-34,Republican,Weak,,,,,,,,Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Slightly familiar,Slightly familiar,Female,Some College,Unemployed,Married with children,Arizona,,,,,Control,,,Q26|Q19|Q18,2|3|1,2|1,33.346206665039,-111.81529998779,-1,
R_12aJPqJIZB6a8wu,Default Response Set,Anonymous,,,68.5.108.94,0,2016-04-23 19:30:41,2016-04-23 19:36:04,1,6304080,18-25,Independent,,Republican,,,,,,,Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Slightly familiar,Not familiar at all,Female,Some College,Unemployed,"Single, never married",California,,,,Control,,,,Q26|Q18|Q19,1|2|3,2|1,33.742294311523,-117.76840209961,-1,
R_YYLqjPoPaOWDaVP,Default Response Set,Anonymous,,,74.143.178.10,0,2016-04-23 19:34:29,2016-04-23 19:36:51,1,9954804,18-25,Democrat,Moderate,,,,,,,,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Very familiar,Very familiar,Female,4-year College Degree,Other,"Single, never married",Kentucky,Control,,,,,,,Q26|Q18|Q19,1|2|3,1|2,38.13459777832,-84.495796203613,-1,
R_3hoSVCqscy9SsBk,Default Response Set,Anonymous,,,69.246.137.152,0,2016-04-23 19:35:36,2016-04-23 19:37:33,1,4953152,18-25,Democrat,Moderate,,Agree,Agree,Agree,Agree,Disagree,Disagree,,,,,,,Very familiar,Very familiar,Male,Some College,"Management, professional, and related ","Single, never married",Florida,Treatment,,,,,,Q45|Q18|Q20,,2|3|1,2|1,30.399398803711,-84.172500610352,-1,
R_2chJtiPs1nVvxZO,Default Response Set,Anonymous,,,69.140.223.236,0,2016-04-23 19:36:30,2016-04-23 19:39:46,1,7204591,26-34,Democrat,Strong,,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,,Very familiar,Slightly familiar,Female,2-year College Degree,Sales and office ,Married with children,Maryland,,Treatment,,,,,Q45|Q18|Q20,,1|2|3,2|1,39.168197631836,-77.164497375488,-1,
R_1hZ6DDKlYwKi5LC,Default Response Set,Anonymous,,,73.140.0.158,0,2016-04-23 19:36:10,2016-04-23 19:39:47,1,3399932,35-44,Democrat,Strong,,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,,,,,,,Moderately familiar,Moderately familiar,Male,Masters Degree,Other,Married without children,Washington,,,Treatment,,,,Q45|Q18|Q20,,3|2|1,2|1,47.901504516602,-122.18440246582,-1,
R_3novIZhdLcJWayL,Default Response Set,Anonymous,,,98.230.211.17,0,2016-04-23 19:38:04,2016-04-23 19:40:59,1,9368857,18-25,Republican,Weak,,,,,,,,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Strongly Agree,Very familiar,Very familiar,Male,4-year College Degree,Service ,"Single, never married",New Mexico,,,,Control,,,,Q26|Q18|Q19,3|1|2,1|2,35.198806762695,-106.70349884033,-1,
R_9AcZswA5UGrC8uJ,Default Response Set,Anonymous,,,162.196.222.240,0,2016-04-23 19:46:00,2016-04-23 19:48:29,1,2667800,26-34,Democrat,Moderate,,,,,,,,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Very familiar,Very familiar,Male,4-year College Degree,"Management, professional, and related ",Married with children,Ohio,,Control,,,,,,Q26|Q18|Q19,1|3|2,1|2,40.10090637207,-83.014099121094,-1,
R_1i1WtfhRHlQrIr9,Default Response Set,Anonymous,,,64.134.182.43,0,2016-04-23 19:45:48,2016-04-23 19:49:16,1,1632531,26-34,Democrat,Strong,,Agree,Agree,Strongly Agree,Agree,Agree,Agree,,,,,,,Extremely familiar,Very familiar,Male,4-year College Degree,Sales and office ,"Single, never married",North Carolina,,Treatment,,,,,Q45|Q18|Q20,,2|1|3,1|2,37.751007080078,-97.821998596191,-1,
R_2EAWScotoAQUYXl,Default Response Set,Anonymous,,,98.255.43.62,0,2016-04-23 19:47:13,2016-04-23 19:50:58,1,7682088,26-34,Independent,,Democrat,Agree,Agree,Neither Agree nor Disagree,Agree,Disagree,Neither Agree nor Disagree,,,,,,,Very familiar,Very familiar,Male,4-year College Degree,Other,"Single, never married",California,,Treatment,,,,,Q45|Q20|Q18,,1|2|3,2|1,38.377395629883,-121.44439697266,-1,
R_5jXuSlQ4itFWKoF,Default Response Set,Anonymous,,,134.198.253.80,0,2016-04-23 19:45:43,2016-04-23 19:51:17,1,9174051,18-25,Democrat,Strong,,,,,,,,Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Very familiar,Very familiar,Female,Some College,Unemployed,"Single, never married",New York,Control,,,,,,,Q26|Q18|Q19,1|3|2,2|1,41.406600952148,-75.621803283691,-1,
R_wMmiMDSv9Hua7Gp,Default Response Set,Anonymous,,,68.9.166.248,0,2016-04-23 19:49:10,2016-04-23 19:52:19,1,5653609,26-34,Democrat,Moderate,,,,,,,,Agree,Agree,Agree,Agree,Agree,Agree,Very familiar,Very familiar,Female,4-year College Degree,"Management, professional, and related ","Single, never married",Pennsylvania,,Control,,,,,,Q26|Q18|Q19,3|1|2,1|2,41.776992797852,-72.523597717285,-1,
R_27Bbg65d1XodQzT,Default Response Set,Anonymous,,,97.78.100.123,0,2016-04-23 19:54:22,2016-04-23 19:57:21,1,1700729,26-34,Democrat,Moderate,,,,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Moderately familiar,Moderately familiar,Male,Some College,Sales and office ,"Single, never married",Michigan,,Control,,,,,,Q26|Q19|Q18,3|2|1,2|1,42.462905883789,-83.349899291992,-1,
R_3De97PuOWMiQZ44,Default Response Set,Anonymous,,,99.59.221.212,0,2016-04-23 19:57:52,2016-04-23 19:59:02,1,6678042,18-25,Democrat,Moderate,,Agree,Agree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,,,,,,,Extremely familiar,Extremely familiar,Female,2-year College Degree,Government ,Married with children,Florida,Treatment,,,,,,Q45|Q20|Q18,,2|3|1,2|1,30.19450378418,-81.600601196289,-1,
R_3eaePbRy7Xm14UJ,Default Response Set,Anonymous,,,98.255.72.179,0,2016-04-23 20:10:09,2016-04-23 20:13:36,1,6138833,18-25,Democrat,Strong,,,,,,,,Agree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Disagree,Very familiar,Very familiar,Female,4-year College Degree,Government ,Living w/ partner,California,Control,,,,,,,Q26|Q18|Q19,2|1|3,2|1,38.441192626953,-121.30639648438,-1,
R_2qlUm0nMCv5bZbt,Default Response Set,Anonymous,,,73.221.147.119,0,2016-04-23 20:11:57,2016-04-23 20:17:03,1,8635681,26-34,Independent,,Democrat,Neither Agree nor Disagree,Strongly Agree,Agree,Agree,Agree,Agree,,,,,,,Slightly familiar,Moderately familiar,Male,4-year College Degree,Other,Living w/ partner,Washington,,Treatment,,,,,Q45|Q18|Q20,,2|3|1,1|2,46.986694335938,-122.7407989502,-1,
R_1k06HfInZ6rYErn,Default Response Set,Anonymous,,,64.78.245.130,0,2016-04-23 20:14:54,2016-04-23 20:19:02,1,8356838,35-44,Independent,,Democrat,Agree,Agree,Agree,Agree,Agree,Agree,,,,,,,Moderately familiar,Moderately familiar,Female,4-year College Degree,Unemployed,Married with children,New York,,,Treatment,,,,Q45|Q18|Q20,,3|2|1,2|1,40.762496948242,-73.950302124023,-1,
R_Y3bxcOHzwgunD4l,Default Response Set,Anonymous,,,173.217.107.69,0,2016-04-23 20:24:34,2016-04-23 20:25:57,1,5688165,35-44,Republican,Moderate,,,,,,,,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Slightly familiar,Not familiar at all,Female,Some College,Other,Married with children,Louisiana,,,,,,Control,,Q26|Q19|Q18,2|3|1,1|2,32.708099365234,-93.277900695801,-1,
R_2axHuPgPjyN0tQm,Default Response Set,Anonymous,,,74.136.136.100,0,2016-04-23 20:24:11,2016-04-23 20:26:20,1,3726425,26-34,Independent,,Republican,Strongly Agree,Agree,Neither Agree nor Disagree,Agree,Strongly Disagree,Strongly Disagree,,,,,,,Moderately familiar,Slightly familiar,Male,Masters Degree,"Management, professional, and related ",Married with children,Kentucky,,,,,Treatment,,Q45|Q20|Q18,,1|3|2,2|1,38.015899658203,-84.484703063965,-1,
R_w4PSdpgbOkLUl5n,Default Response Set,Anonymous,,,70.199.143.110,0,2016-04-23 20:26:06,2016-04-23 20:30:38,1,812485,35-44,Republican,Moderate,,Neither Agree nor Disagree,Strongly Disagree,Neither Agree nor Disagree,Strongly Disagree,Agree,Disagree,,,,,,,Moderately familiar,Not familiar at all,Female,4-year College Degree,Other,Married without children,Oregon,,,,,,Treatment,Q45|Q18|Q20,,3|2|1,1|2,47.364807128906,-122.60479736328,-1,
R_eyOMZft5YBiGsdb,Default Response Set,Anonymous,,,50.32.153.173,0,2016-04-23 20:22:00,2016-04-23 20:33:43,1,8259603,35-44,Independent,,Democrat,,,,,,,Agree,Agree,Agree,Agree,Agree,Agree,Very familiar,Very familiar,Female,4-year College Degree,"Management, professional, and related ","Single, never married",Pennsylvania,,,Control,,,,,Q26|Q18|Q19,1|3|2,1|2,41.49169921875,-75.984901428223,-1,
R_2yr5gZtFJ7bYXV2,Default Response Set,Anonymous,,,100.1.209.177,0,2016-04-23 20:35:21,2016-04-23 20:38:27,1,8309153,18-25,Republican,Weak,,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,,,,,,,Moderately familiar,Moderately familiar,Female,4-year College Degree,Unemployed,Married with children,New Jersey,,,,Treatment,,,Q45|Q18|Q20,,2|1|3,2|1,40.821701049805,-74.157402038574,-1,
R_28M4eclY0TLALtS,Default Response Set,Anonymous,,,68.14.160.168,0,2016-04-23 20:36:42,2016-04-23 20:40:24,1,8887592,55-64,Independent,,Republican,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Extremely familiar,Extremely familiar,Male,2-year College Degree,Retired,Widowed,Oklahoma,,,,,,Control,,Q26|Q18|Q19,2|3|1,2|1,36.04020690918,-95.879600524902,-1,
R_1oFMMQWtLCwQldz,Default Response Set,Anonymous,,,97.84.197.73,0,2016-04-23 20:36:26,2016-04-23 20:40:32,1,640487,26-34,Democrat,Moderate,,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,,,,,,,Moderately familiar,Not familiar at all,Female,Masters Degree,Unemployed,"Single, never married",Michigan,,Treatment,,,,,Q45|Q20|Q18,,2|3|1,2|1,43.444107055664,-84.025497436523,-1,
R_UX6CofA9jRaLSE1,Default Response Set,Anonymous,,,107.13.61.217,0,2016-04-23 20:40:15,2016-04-23 20:42:15,1,9697718,35-44,Republican,Moderate,,Agree,Agree,Agree,Agree,Agree,Agree,,,,,,,Not familiar at all,Moderately familiar,Male,4-year College Degree,Service ,Married with children,North Carolina,,,,,,Treatment,Q45|Q18|Q20,,1|2|3,1|2,35.871307373047,-78.539398193359,-1,
R_2ScUrwj6pq3TwhR,Default Response Set,Anonymous,,,172.58.25.17,0,2016-04-23 20:41:49,2016-04-23 20:42:34,1,4267264,18-25,Democrat,Strong,,,,,,,,Disagree,Agree,Agree,Neither Agree nor Disagree,Disagree,Agree,Slightly familiar,Slightly familiar,Female,Some College,"Production, transportation, and material moving ",Married with children,Louisiana,Control,,,,,,,Q26|Q18|Q19,2|1|3,1|2,34.029205322266,-118.15129852295,-1,
R_2t402xw1lTayuZp,Default Response Set,Anonymous,,,72.229.226.106,0,2016-04-23 20:41:11,2016-04-23 20:43:41,1,7822320,55-64,Independent,,Republican,,,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Slightly familiar,Slightly familiar,Female,2-year College Degree,Other,Divorced,New York,,,,,,Control,,Q26|Q19|Q18,3|2|1,1|2,40.76220703125,-73.912101745605,-1,
R_2TmG8PyPlf0lboU,Default Response Set,Anonymous,,,98.192.63.213,0,2016-04-23 20:43:28,2016-04-23 20:46:29,1,9516850,35-44,Democrat,Strong,,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,,,,,,,Very familiar,Very familiar,Male,Some College,Unemployed,Married with children,Georgia,,,Treatment,,,,Q45|Q18|Q20,,3|1|2,2|1,33.520904541016,-84.323799133301,-1,
R_0kwKTuzXqIvypvb,Default Response Set,Anonymous,,,172.56.13.74,0,2016-04-23 20:42:30,2016-04-23 20:47:47,1,5889851,35-44,Democrat,Moderate,,,,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Agree,Moderately familiar,Moderately familiar,Female,High School / GED,Other,"Single, never married",Wisconsin,,,Control,,,,,Q26|Q18|Q19,1|2|3,1|2,41.850006103516,-87.650001525879,-1,
R_1JRB61Qt9qpytN1,Default Response Set,Anonymous,,,70.194.140.102,0,2016-04-23 20:45:59,2016-04-23 20:50:39,1,8997826,26-34,Democrat,Moderate,,,,,,,,Agree,Agree,Agree,Agree,Agree,Agree,Moderately familiar,Moderately familiar,Female,4-year College Degree,Other,Living w/ partner,Illinois,,Control,,,,,,Q26|Q19|Q18,1|3|2,1|2,41.973403930664,-88.206497192383,-1,
R_22Lz2IFsRDVSu2f,Default Response Set,Anonymous,,,73.245.155.39,0,2016-04-23 20:57:27,2016-04-23 21:01:20,1,5364372,45-54,Independent,,Republican,,,,,,,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Very familiar,Extremely familiar,Female,Masters Degree,Other,Married with children,Florida,,,,,,Control,,Q26|Q19|Q18,3|2|1,2|1,25.858795166016,-80.383903503418,-1,
R_2B8pXDOIld0hGxG,Default Response Set,Anonymous,,,98.252.89.103,0,2016-04-23 21:01:21,2016-04-23 21:06:37,1,5395713,35-44,Republican,Weak,,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,,,,,,,Very familiar,Moderately familiar,Male,High School / GED,Service ,Living w/ partner,California,,,,,,Treatment,Q45|Q20|Q18,,3|2|1,1|2,38.682098388672,-121.34820556641,-1,
R_2atxXoDleSMagaY,Default Response Set,Anonymous,,,69.245.111.216,0,2016-04-23 21:04:04,2016-04-23 21:06:50,1,693232,26-34,Independent,,Democrat,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,,,,,,,Moderately familiar,Moderately familiar,Male,4-year College Degree,Sales and office ,Living w/ partner,Georgia,,Treatment,,,,,Q45|Q18|Q20,,2|3|1,2|1,32.08349609375,-81.099800109863,-1,
R_1NbuENVpQcR0OCg,Default Response Set,Anonymous,,,104.2.104.133,0,2016-04-23 21:09:56,2016-04-23 21:14:12,1,3460401,35-44,Independent,,Democrat,Agree,Disagree,Disagree,Neither Agree nor Disagree,Agree,Agree,,,,,,,Very familiar,Very familiar,Female,High School / GED,Other,Widowed,Indiana,,,Treatment,,,,Q45|Q18|Q20,,1|2|3,1|2,41.592102050781,-87.456398010254,-1,
R_2vl9Df5Q7WpFvyl,Default Response Set,Anonymous,,,97.92.35.55,0,2016-04-23 21:11:24,2016-04-23 21:14:48,1,5408928,26-34,Democrat,Moderate,,,,,,,,Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Extremely familiar,Extremely familiar,Female,4-year College Degree,"Management, professional, and related ",Living w/ partner,Michigan,,Control,,,,,,Q26|Q18|Q19,3|2|1,2|1,43.384704589844,-86.327201843262,-1,
R_Y3KitR7hMZTKKQx,Default Response Set,Anonymous,,,104.184.129.9,0,2016-04-23 21:16:30,2016-04-23 21:25:05,1,8550623,35-44,Independent,,Democrat,,,,,,,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Strongly Agree,Very familiar,Slightly familiar,Male,2-year College Degree,Other,"Single, never married",Texas,,,Control,,,,,Q26|Q19|Q18,3|2|1,2|1,30.002807617188,-95.396301269531,-1,
R_33DcPIIBzutZECM,Default Response Set,Anonymous,,,72.190.169.213,0,2016-04-23 21:24:38,2016-04-23 21:28:05,1,7082798,35-44,Republican,Strong,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Extremely familiar,Extremely familiar,Female,4-year College Degree,Other,Married with children,Texas,,,,,,Control,,Q26|Q18|Q19,2|3|1,2|1,29.554794311523,-98.695098876953,-1,
R_3Jw1ORrQbIp3aAD,Default Response Set,Anonymous,,,99.53.241.183,0,2016-04-23 21:22:37,2016-04-23 21:28:43,1,557403,55-64,Republican,Strong,,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,,,,,,,Very familiar,Moderately familiar,Female,Some College,Service ,Married with children,California,,,,,,Treatment,Q45|Q20|Q18,,1|3|2,2|1,38.019897460938,-121.38059997559,-1,
R_3D6dXCpdz4JED8R,Default Response Set,Anonymous,,,98.148.240.230,0,2016-04-23 21:28:13,2016-04-23 21:31:21,1,2712611,26-34,Democrat,Moderate,,,,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Very familiar,Moderately familiar,Female,4-year College Degree,Other,Married with children,California,,Control,,,,,,Q26|Q19|Q18,3|1|2,2|1,34.039001464844,-117.75479888916,-1,
R_OvT0GuOt8vxgw2B,Default Response Set,Anonymous,,,108.46.74.193,0,2016-04-23 21:31:55,2016-04-23 21:35:12,1,6116168,18-25,Independent,,Democrat,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Agree,,,,,,,Extremely familiar,Extremely familiar,Female,Masters Degree,Other,"Single, never married",New York,Treatment,,,,,,Q45|Q20|Q18,,3|1|2,2|1,40.781997680664,-73.473899841309,-1,
R_2tok7gVzGfSMgW7,Default Response Set,Anonymous,,,173.225.146.199,0,2016-04-23 21:31:15,2016-04-23 21:35:53,1,1010517,55-64,Independent,,Democrat,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Agree,,,,,,,Very familiar,Not familiar at all,Male,4-year College Degree,Sales and office ,"Single, never married",Minnesota,,,Treatment,,,,Q45|Q18|Q20,,3|2|1,1|2,45.750106811523,-94.140098571777,-1,
R_3RklDFCRruAjZ2T,Default Response Set,Anonymous,,,98.226.21.145,0,2016-04-23 21:34:29,2016-04-23 21:36:39,1,5260029,35-44,Democrat,Moderate,,,,,,,,Agree,Agree,Agree,Agree,Agree,Agree,Slightly familiar,Slightly familiar,Male,Some College,Sales and office ,Married without children,Illinois,,,Control,,,,,Q26|Q19|Q18,1|2|3,1|2,41.569595336914,-87.79940032959,-1,
R_3HNPfBvHodyCZMx,Default Response Set,Anonymous,,,148.101.119.61,0,2016-04-23 21:39:48,2016-04-23 21:47:05,1,1914244,26-34,Republican,Moderate,,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Agree,,,,,,,Extremely familiar,Extremely familiar,Male,2-year College Degree,"Management, professional, and related ","Single, never married",Florida,,,,,Treatment,,Q45|Q18|Q20,,1|2|3,1|2,18.466705322266,-69.900001525879,-1,
