V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,mTurkCode,Q21_1,Q21_2,Q21_3,Q21_4,Q6_6,Q6_7,Q6_8,Q22_1,Q22_2,Q22_3,Q22_4,Q26,Q1,Q2,Q2,Q23_1,Q23_2,Q23_3,Q23_4,Q20_7,Q20_9,Q27_1,Q27_2,Q27_3,Q27_4,Q18_6,Q18_7,Q24_1,Q24_2,Q24_3,Q24_4,Q18_4,Q18_5,Q28_1,Q28_2,Q28_3,Q28_4,Q19_4,Q19_5,Q19_1,Q19_2,Q25_1,Q25_2,Q25_3,Q25_4,Q8,Q9,Q15,Q16,Q12,LocationLatitude,LocationLongitude,LocationAccuracy,
R_1QzwWRz2aZ3Pnon,Default Response Set,Anonymous,,,69.254.250.136,0,2016-04-04 02:03:41,2016-04-04 02:06:00,1,7210739,1,2,3,4,Neutral,Neutral,Neutral,1,2,3,4,18-25,Democrat,Strong,,,,,,Disagree,Disagree,,,,,Agree,Agree,,,,,,,,,,,,,Moderately familiar,Extremely familiar,1,2,3,4,Female,High School / GED,Service ,Living w/ partner,Kansas,38.851806640625,-94.778602600098,-1,
R_8BpXOjj13RdpTMJ,Default Response Set,Anonymous,,,73.239.157.42,0,2016-04-04 02:15:34,2016-04-04 02:18:25,1,8127849,1,2,3,4,Positive,Positive,Positive,1,2,3,4,18-25,Democrat,Moderate,,,,,,Agree,Agree,,,,,Agree,Agree,,,,,,,,,,,,,Moderately familiar,Very familiar,1,2,3,4,Male,4-year College Degree,Other,"Single, never married",Washington,47.673797607422,-122.34190368652,-1,
R_DMK78SxHoYKwT6x,Default Response Set,Anonymous,,,75.131.100.143,0,2016-04-04 02:19:04,2016-04-04 02:22:38,1,3331368,1,2,3,4,Positive,Neutral,Positive,1,2,3,4,26-34,Independent,,Republican,,,,,Agree,Agree,,,,,Agree,Agree,,,,,,,,,,,,,Extremely familiar,Extremely familiar,1,2,3,4,Male,Some College,"Construction, extraction, and maintenance ","Single, never married",Michigan,43.416107177734,-83.970901489258,-1,
R_1Ia8BY3Kt22f1Dg,Default Response Set,Anonymous,,,207.183.177.26,0,2016-04-04 02:23:01,2016-04-04 02:26:29,1,4516000,1,2,3,4,Negative,Negative,Negative,1,2,3,4,26-34,Democrat,Moderate,,,,,,,,,,,,,,,,,,Agree,Agree,,,,,Agree,Agree,Very familiar,Very familiar,1,2,3,4,Female,Some College,Unemployed,Living w/ partner,Utah,42.982696533203,-110.94930267334,-1,
R_1dah1LAIno4XcpH,Default Response Set,Anonymous,,,73.1.216.31,0,2016-04-04 02:30:52,2016-04-04 02:33:33,1,6386351,1,2,3,4,Negative,Negative,Positive,1,2,3,4,26-34,Republican,Moderate,,,,,,,,,,,,,,,,,,Agree,Agree,,,,,Agree,Disagree,Extremely familiar,Extremely familiar,1,2,3,4,Male,"Professional Degree (JD, MD)","Management, professional, and related ",Married with children,Florida,26.025207519531,-80.295997619629,-1,
R_qWlUUPiRsL6Y3lf,Default Response Set,Anonymous,,,50.155.8.235,0,2016-04-04 02:31:48,2016-04-04 02:36:10,1,2813346,1,2,3,4,Positive,Positive,Positive,1,2,3,4,55-64,Independent,,Republican,,,,,,,,,,,,,,,,,Strongly Agree,Agree,,,,,Strongly Agree,Strongly Agree,Very familiar,Very familiar,1,2,3,4,Male,2-year College Degree,Other,Married with children,Georgia,34.024703979492,-84.503303527832,-1,
R_xsEqxSBzZUS6m09,Default Response Set,Anonymous,,,58.11.39.103,0,2016-04-04 02:37:47,2016-04-04 02:40:11,1,3664403,1,2,3,4,Negative,Negative,Neutral,1,2,3,4,26-34,Democrat,Weak,,,,,,,,,,,,,,,,,,Agree,Agree,,,,,Strongly Agree,Strongly Agree,Very familiar,Very familiar,1,2,3,4,Male,4-year College Degree,"Management, professional, and related ","Single, never married",Colorado,13.753997802734,100.50140380859,-1,
R_3lyOW2pwiuFiYdD,Default Response Set,Anonymous,,,73.136.52.109,0,2016-04-04 02:49:14,2016-04-04 02:51:00,1,5463888,1,2,3,4,Positive,Positive,Positive,1,2,3,4,18-25,Independent,,Democrat,,,,,Agree,Agree,,,,,Agree,Neither Agree nor Disagree,,,,,,,,,,,,,Moderately familiar,Moderately familiar,1,2,3,4,Male,Some College,Other,"Single, never married",Texas,29.528793334961,-95.525199890137,-1,
R_1GUL3CijYQmaRFH,Default Response Set,Anonymous,,,68.4.203.84,0,2016-04-04 02:52:00,2016-04-04 02:58:30,1,1062145,1,2,3,4,Neutral,Neutral,Neutral,1,2,3,4,35-44,Democrat,Weak,,,,,,Agree,Neither Agree nor Disagree,,,,,Agree,Neither Agree nor Disagree,,,,,,,,,,,,,Very familiar,Very familiar,1,2,3,4,Female,Some College,Other,"Single, never married",California,33.571701049805,-117.72889709473,-1,
R_2VyaKAJDBGhtfDP,Default Response Set,Anonymous,,,184.19.80.202,0,2016-04-04 03:23:01,2016-04-04 03:26:07,1,3560231,1,2,3,4,Positive,Neutral,Positive,1,2,3,4,35-44,Independent,,Democrat,,,,,Agree,Agree,,,,,Agree,Agree,,,,,,,,,,,,,Very familiar,Very familiar,1,2,3,4,Female,4-year College Degree,Service ,Married with children,West Virginia,39.358505249023,-79.998397827148,-1,
R_82MZ4tlNifCgch3,Default Response Set,Anonymous,,,50.33.73.37,0,2016-04-04 03:41:17,2016-04-04 03:44:11,1,5301183,1,2,3,4,Positive,Positive,Very Positive,1,2,3,4,26-34,Republican,Moderate,,,,,,,,,,,,,,,,,,Agree,Agree,,,,,Disagree,Disagree,Very familiar,Very familiar,1,2,3,4,Male,Some College,Other,Married without children,Michigan,42.056900024414,-86.456298828125,-1,
R_10wKmMQfqHfEj85,Default Response Set,Anonymous,,,104.182.92.236,0,2016-04-04 03:43:13,2016-04-04 03:46:10,1,4823290,1,2,3,4,Very Positive,Positive,Very Positive,1,2,3,4,35-44,Republican,Strong,,,,,,Strongly Disagree,Strongly Disagree,,,,,Strongly Agree,Strongly Agree,,,,,,,,,,,,,Extremely familiar,Slightly familiar,1,2,3,4,Female,4-year College Degree,Other,Married with children,Alabama,33.10710144043,-86.903198242188,-1,
R_UEJ4YImTNh31UYx,Default Response Set,Anonymous,,,174.102.6.19,0,2016-04-04 03:57:01,2016-04-04 03:59:18,1,3596164,1,2,3,4,Positive,Positive,Positive,1,2,3,4,26-34,Democrat,Moderate,,,,,,,,,,,,,,,,,,Neither Agree nor Disagree,Agree,,,,,Agree,Agree,Very familiar,Very familiar,1,2,3,4,Male,4-year College Degree,Other,"Single, never married",Ohio,40.742599487305,-84.105201721191,-1,
R_12QmrBR4b4xZY0g,Default Response Set,Anonymous,,,76.171.230.102,0,2016-04-04 04:05:52,2016-04-04 04:09:18,1,4021854,1,2,3,4,Positive,Neutral,Positive,1,2,3,4,26-34,Democrat,Weak,,,,,,,,,,,,,,,,,,Agree,Strongly Agree,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,Extremely familiar,Extremely familiar,1,2,3,4,Male,High School / GED,Unemployed,"Single, never married",California,33.912902832031,-118.34390258789,-1,
R_2uy4bYQmZ7LDFLW,Default Response Set,Anonymous,,,184.156.199.108,0,2016-04-04 04:30:33,2016-04-04 04:34:07,1,7719202,1,2,3,4,Positive,Positive,Negative,1,2,3,4,45-54,Republican,Strong,,,,,,Disagree,Disagree,,,,,Strongly Agree,Strongly Agree,,,,,,,,,,,,,Extremely familiar,Extremely familiar,1,2,3,4,Male,High School / GED,"Management, professional, and related ","Single, never married",Missouri,36.169006347656,-94.456398010254,-1,
R_2dNl8oMdVaxdSb8,Default Response Set,Anonymous,,,162.243.251.163,0,2016-04-04 04:36:25,2016-04-04 04:39:52,1,5570429,1,2,3,4,Positive,Positive,Positive,1,2,3,4,26-34,Democrat,Moderate,,,,,,Strongly Agree,Strongly Agree,,,,,Strongly Agree,Strongly Agree,,,,,,,,,,,,,Extremely familiar,Very familiar,1,2,3,4,Female,High School / GED,Sales and office ,Married with children,Pennsylvania,40.714294433594,-74.005996704102,-1,
R_yDtNA5cocZkWwx3,Default Response Set,Anonymous,,,71.81.85.139,0,2016-04-04 04:57:31,2016-04-04 04:59:24,1,9376796,1,2,3,4,Positive,Neutral,Neutral,1,2,3,4,26-34,Republican,Moderate,,,,,,,,,,,,,,,,,,Agree,Neither Agree nor Disagree,,,,,Agree,Agree,Moderately familiar,Moderately familiar,1,2,3,4,Female,Some College,"Construction, extraction, and maintenance ",Divorced,Missouri,38.549102783203,-90.319900512695,-1,
R_u2nBLxq331tnX0J,Default Response Set,Anonymous,,,76.2.75.201,0,2016-04-04 05:04:50,2016-04-04 05:10:21,1,4263397,1,2,3,4,Neutral,Neutral,Neutral,1,2,3,4,26-34,Independent,,Democrat,,,,,,,,,,,,,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,,,,,Strongly Agree,Strongly Agree,Very familiar,Moderately familiar,1,2,3,4,Male,Masters Degree,Unemployed,"Single, never married",Ohio,40.266693115234,-82.847702026367,-1,
R_1mKlIx4OLlYX65q,Default Response Set,Anonymous,,,75.110.157.53,0,2016-04-04 05:57:31,2016-04-04 05:59:30,1,2069960,1,2,3,4,Very Positive,Very Positive,Negative,1,2,3,4,55-64,Democrat,Strong,,,,,,Agree,Agree,,,,,Agree,Agree,,,,,,,,,,,,,Not familiar at all,Extremely familiar,1,2,3,4,Male,4-year College Degree,"Management, professional, and related ",Married with children,North Carolina,35.142700195312,-77.16300201416,-1,
R_9YNHrCFn6q3kZ0d,Default Response Set,Anonymous,,,68.32.128.232,0,2016-04-04 05:58:48,2016-04-04 06:01:41,1,5961377,1,2,3,4,Neutral,Neutral,Neutral,1,2,3,4,55-64,Democrat,Strong,,,,,,,,,,,,,,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,Extremely familiar,Very familiar,1,2,3,4,Male,Some College,Sales and office ,"Single, never married",Michigan,42.688400268555,-83.386497497559,-1,
R_XNvhhVjanaplLln,Default Response Set,Anonymous,,,71.165.73.231,0,2016-04-04 06:27:47,2016-04-04 06:30:09,1,4265863,1,2,3,4,Neutral,Positive,Neutral,1,2,3,4,18-25,Democrat,Strong,,,,,,Neither Agree nor Disagree,Agree,,,,,Disagree,Strongly Disagree,,,,,,,,,,,,,Moderately familiar,Very familiar,1,2,3,4,Female,Some College,Unemployed,"Single, never married",California,33.907104492188,-118.07669830322,-1,
R_3rwG5v6KqhmycLf,Default Response Set,Anonymous,,,75.109.76.236,0,2016-04-04 06:52:52,2016-04-04 06:56:17,1,4671660,1,2,3,4,Neutral,Neutral,Neutral,1,2,3,4,45-54,Republican,Moderate,,,,,,Agree,Agree,,,,,Agree,Agree,,,,,,,,,,,,,Extremely familiar,Very familiar,1,2,3,4,Male,Masters Degree,Government ,Married with children,North Carolina,35.580505371094,-77.012702941895,-1,
R_2TF8B5HXtoZlVB1,Default Response Set,Anonymous,,,71.199.217.46,0,2016-04-04 06:47:29,2016-04-04 07:00:45,1,2905769,1,2,3,4,Neutral,Neutral,Negative,1,2,3,4,26-34,Democrat,Weak,,,,,,,,,,,,,,,,,,Agree,Strongly Agree,,,,,Strongly Agree,Strongly Agree,Extremely familiar,Extremely familiar,1,2,3,4,Female,2-year College Degree,Other,"Single, never married",Florida,27.151901245117,-81.061096191406,-1,
R_2YzFuYIPMP2zi7c,Default Response Set,Anonymous,,,107.77.192.201,0,2016-04-04 07:35:09,2016-04-04 07:37:25,1,5213906,1,2,3,4,Neutral,Negative,Neutral,1,2,3,4,26-34,Democrat,Moderate,,,,,,Agree,Agree,,,,,Agree,Agree,,,,,,,,,,,,,Moderately familiar,Very familiar,1,2,3,4,Male,4-year College Degree,"Management, professional, and related ",Married with children,Ohio,38,-97,-1,
R_3fTPBn04nJKYtDo,Default Response Set,Anonymous,,,99.24.150.159,0,2016-04-04 07:42:07,2016-04-04 07:46:00,1,5144313,1,2,3,4,Negative,Negative,Negative,1,2,3,4,55-64,Republican,Weak,,,,,,,,,,,,,,,,,,Disagree,Disagree,,,,,Agree,Agree,Extremely familiar,Moderately familiar,1,2,3,4,Male,Some College,Other,Divorced,Florida,30.799697875977,-86.974800109863,-1,
R_2V2q4ontd4x48f2,Default Response Set,Anonymous,,,142.105.199.231,0,2016-04-04 07:50:19,2016-04-04 07:51:25,1,1171897,1,2,3,4,Neutral,Neutral,Neutral,1,2,3,4,18-25,Republican,Moderate,,,,,,,,,,,,,,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,Moderately familiar,Moderately familiar,1,2,3,4,Female,Some College,"Construction, extraction, and maintenance ",Married with children,Maine,44.40510559082,-69.756698608398,-1,
R_3Dhxa4IGfasN2hD,Default Response Set,Anonymous,,,73.194.54.129,0,2016-04-04 08:02:48,2016-04-04 08:05:30,1,47640,1,2,3,4,Positive,Positive,Negative,1,2,3,4,26-34,Independent,,Democrat,,,,,Disagree,Agree,,,,,Agree,Agree,,,,,,,,,,,,,Very familiar,Very familiar,1,2,3,4,Male,4-year College Degree,Sales and office ,"Single, never married",New York,40.429306030273,-74.420303344727,-1,
R_3NPtSJ01RM25ZkK,Default Response Set,Anonymous,,,76.23.238.147,0,2016-04-04 08:05:33,2016-04-04 08:07:58,1,8108476,1,2,3,4,Positive,Neutral,Positive,1,2,3,4,35-44,Democrat,Moderate,,,,,,,,,,,,,,,,,,Agree,Agree,,,,,Strongly Agree,Strongly Agree,Moderately familiar,Very familiar,1,2,3,4,Male,4-year College Degree,"Management, professional, and related ",Married without children,Massachusetts,42.791397094727,-71.132202148438,-1,
R_5uvO4Zt5iG1jWhj,Default Response Set,Anonymous,,,66.73.144.15,0,2016-04-04 08:04:44,2016-04-04 08:09:41,1,5273354,1,2,3,4,Positive,Positive,Positive,1,2,3,4,35-44,Independent,,Democrat,,,,,Disagree,Strongly Disagree,,,,,Agree,Disagree,,,,,,,,,,,,,Extremely familiar,Extremely familiar,1,2,3,4,Male,Masters Degree,Other,Married with children,Ohio,41.435195922852,-81.81079864502,-1,
R_4SYJbhAgQZySLkh,Default Response Set,Anonymous,,,98.255.43.62,0,2016-04-04 08:11:29,2016-04-04 08:15:08,1,7860312,1,2,3,4,Positive,Positive,Very Positive,1,2,3,4,26-34,Independent,,Democrat,,,,,,,,,,,,,,,,,Agree,Agree,,,,,Neither Agree nor Disagree,Disagree,Moderately familiar,Moderately familiar,1,2,3,4,Male,4-year College Degree,"Management, professional, and related ","Single, never married",California,38.344497680664,-121.42929840088,-1,
R_2xGn2H3a0cVqmJQ,Default Response Set,Anonymous,,,142.255.122.126,0,2016-04-04 08:13:13,2016-04-04 08:15:16,1,7081745,1,2,3,4,Negative,Very Negative,Positive,1,2,3,4,26-34,Independent,,Democrat,,,,,Disagree,Disagree,,,,,Strongly Agree,Strongly Agree,,,,,,,,,,,,,Extremely familiar,Extremely familiar,1,2,3,4,Female,Some College,Unemployed,"Single, never married",New York,40.693099975586,-73.736999511719,-1,
R_1ffIzXTkGex9BpS,Default Response Set,Anonymous,,,134.192.135.254,0,2016-04-04 08:16:10,2016-04-04 08:20:09,1,992104,1,2,3,4,Neutral,Neutral,Negative,1,2,3,4,45-54,Democrat,Moderate,,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,,,,,Strongly Agree,Agree,,,,,,,,,,,,,Slightly familiar,Slightly familiar,1,2,3,4,Female,Masters Degree,"Management, professional, and related ",Separated,Maryland,39.295196533203,-76.623100280762,-1,
R_2PmJPvfESU09dv6,Default Response Set,Anonymous,,,72.47.176.70,0,2016-04-04 08:20:18,2016-04-04 08:25:06,1,3127496,1,2,3,4,Positive,Very Positive,Negative,1,2,3,4,26-34,Independent,,Democrat,,,,,Disagree,Disagree,,,,,Agree,Agree,,,,,,,,,,,,,Moderately familiar,Moderately familiar,1,2,3,4,Female,Some College,"Production, transportation, and material moving ",Married without children,California,37.505996704102,-118.31140136719,-1,
R_3CErfkxTXUMUi7E,Default Response Set,Anonymous,,,128.170.224.10,0,2016-04-04 08:32:01,2016-04-04 08:34:21,1,788391,1,2,3,4,Very Positive,Very Positive,Very Positive,1,2,3,4,26-34,Republican,Moderate,,,,,,,,,,,,,,,,,,Agree,Agree,,,,,Strongly Disagree,Strongly Disagree,Slightly familiar,Moderately familiar,1,2,3,4,Male,2-year College Degree,"Management, professional, and related ",Married with children,Oklahoma,40.744903564453,-73.978202819824,-1,
R_2uTB1cEgSFmWlNk,Default Response Set,Anonymous,,,73.64.138.2,0,2016-04-04 08:40:23,2016-04-04 08:42:18,1,7331102,1,2,3,4,Neutral,Neutral,Neutral,1,2,3,4,35-44,Democrat,Strong,,,,,,,,,,,,,,,,,,Neither Agree nor Disagree,Agree,,,,,Agree,Agree,Moderately familiar,Not familiar at all,1,2,3,4,Female,2-year College Degree,"Management, professional, and related ",Married without children,Pennsylvania,41.406600952148,-75.621803283691,-1,
R_WuPhY8A5hsV4ycN,Default Response Set,Anonymous,,,69.121.165.135,0,2016-04-04 08:43:23,2016-04-04 08:44:43,1,4767058,1,2,3,4,Neutral,Neutral,Neutral,1,2,3,4,18-25,Independent,,Republican,,,,,,,,,,,,,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,Moderately familiar,Moderately familiar,1,2,3,4,Female,4-year College Degree,Service ,"Single, never married",New York,40.785003662109,-73.406196594238,-1,
R_1rwxNQHrGAHqn0n,Default Response Set,Anonymous,,,68.103.18.85,0,2016-04-04 08:45:56,2016-04-04 08:48:03,1,6852394,1,2,3,4,Negative,Negative,Neutral,1,2,3,4,35-44,Independent,,Democrat,,,,,Agree,Agree,,,,,Agree,Agree,,,,,,,,,,,,,Extremely familiar,Extremely familiar,1,2,3,4,Male,Some College,Sales and office ,Married without children,Kansas,39.037994384766,-95.727798461914,-1,
R_3qL5rZnuzt8rIpZ,Default Response Set,Anonymous,,,69.141.27.82,0,2016-04-04 08:45:12,2016-04-04 08:48:33,1,9207100,1,2,3,4,Negative,Negative,Neutral,1,2,3,4,35-44,Independent,,Democrat,,,,,,,,,,,,,,,,,Disagree,Disagree,,,,,Agree,Neither Agree nor Disagree,Very familiar,Extremely familiar,1,2,3,4,Female,4-year College Degree,Other,Married with children,New Jersey,40.751800537109,-74.066200256348,-1,
R_1PZx3wGP4cepaKJ,Default Response Set,Anonymous,,,108.70.131.47,0,2016-04-04 08:42:54,2016-04-04 08:48:40,1,6385798,1,2,3,4,Very Negative,Very Negative,Negative,1,2,3,4,45-54,Independent,,Republican,,,,,,,,,,,,,,,,,Disagree,Disagree,,,,,Agree,Agree,Very familiar,Very familiar,1,2,3,4,Male,Some College,Service ,Divorced,North Carolina,35.683807373047,-78.663597106934,-1,
R_2UWpYzY9eTAFrU1,Default Response Set,Anonymous,,,74.69.236.166,0,2016-04-04 08:50:06,2016-04-04 08:51:51,1,7500455,1,2,3,4,Positive,Positive,Positive,1,2,3,4,35-44,Democrat,Moderate,,,,,,,,,,,,,,,,,,Strongly Agree,Strongly Agree,,,,,Agree,Agree,Very familiar,Very familiar,1,2,3,4,Female,Some College,Sales and office ,"Single, never married",New Hampshire,42.970306396484,-72.279998779297,-1,
R_3LciXtaIpIRYjuj,Default Response Set,Anonymous,,,73.49.39.78,0,2016-04-04 08:51:05,2016-04-04 08:54:40,1,9167974,1,2,3,4,Very Positive,Very Positive,Very Positive,1,2,3,4,45-54,Independent,,Republican,,,,,Agree,Agree,,,,,Agree,Agree,,,,,,,,,,,,,Extremely familiar,Extremely familiar,1,2,3,4,Male,4-year College Degree,"Management, professional, and related ","Single, never married",Florida,27.592102050781,-80.385299682617,-1,
R_3CPEdHF1SkRrSZJ,Default Response Set,Anonymous,,,70.208.143.208,0,2016-04-04 08:55:50,2016-04-04 08:59:24,1,1736499,1,2,3,4,Neutral,Neutral,Neutral,1,2,3,4,26-34,Democrat,Moderate,,,,,,,,,,,,,,,,,,Disagree,Disagree,,,,,Agree,Neither Agree nor Disagree,Extremely familiar,Extremely familiar,1,2,3,4,Female,Masters Degree,Sales and office ,Living w/ partner,Virginia,38.833694458008,-77.120399475098,-1,
R_2cbxPl2zDq2jAto,Default Response Set,Anonymous,,,67.1.55.30,0,2016-04-04 08:56:55,2016-04-04 08:59:29,1,9028334,1,2,3,4,Negative,Negative,Negative,1,2,3,4,45-54,Democrat,Moderate,,,,,,,,,,,,,,,,,,Disagree,Disagree,,,,,Agree,Agree,Slightly familiar,Slightly familiar,1,2,3,4,Female,2-year College Degree,"Farming, fishing, and forestry","Single, never married",Arizona,32.178497314453,-110.78970336914,-1,
R_2TzMCMCarfQ7FDE,Default Response Set,Anonymous,,,96.245.24.93,0,2016-04-04 08:58:08,2016-04-04 09:00:17,1,9450412,1,2,3,4,Positive,Positive,Positive,1,2,3,4,35-44,Republican,Moderate,,,,,,Disagree,Disagree,,,,,Agree,Agree,,,,,,,,,,,,,Extremely familiar,Very familiar,1,2,3,4,Female,Masters Degree,Other,Married with children,Pennsylvania,40.567794799805,-75.482803344727,-1,
R_1NypY9qBY5CFmcw,Default Response Set,Anonymous,,,68.37.230.143,0,2016-04-04 08:56:55,2016-04-04 09:02:29,1,5659439,1,2,3,4,Neutral,Neutral,Neutral,1,2,3,4,18-25,Democrat,Strong,,,,,,Agree,Agree,,,,,Agree,Agree,,,,,,,,,,,,,Slightly familiar,Slightly familiar,1,2,3,4,Female,4-year College Degree,Service ,"Single, never married",Michigan,42.725692749023,-84.636001586914,-1,
R_1gBDIsj7xNlKIWA,Default Response Set,Anonymous,,,65.190.144.199,0,2016-04-04 09:04:03,2016-04-04 09:07:40,1,516818,1,2,3,4,Positive,Neutral,Positive,1,2,3,4,55-64,Republican,Moderate,,,,,,,,,,,,,,,,,,Agree,Agree,,,,,Disagree,Neither Agree nor Disagree,Extremely familiar,Extremely familiar,1,2,3,4,Male,4-year College Degree,Retired,Married with children,North Carolina,35.62629699707,-78.437103271484,-1,
R_1GV9dmrIT698WZf,Default Response Set,Anonymous,,,98.170.233.116,0,2016-04-04 09:06:35,2016-04-04 09:08:56,1,6607886,1,2,3,4,Neutral,Negative,Positive,1,2,3,4,45-54,Republican,Strong,,,,,,Agree,Agree,,,,,Agree,Strongly Agree,,,,,,,,,,,,,Extremely familiar,Very familiar,1,2,3,4,Female,Masters Degree,"Management, professional, and related ",Married with children,Florida,30.514297485352,-86.462997436523,-1,
R_2BwVeoEtAWcWWWi,Default Response Set,Anonymous,,,96.246.51.20,0,2016-04-04 09:09:14,2016-04-04 09:09:52,1,3331194,1,2,3,4,Very Positive,Positive,Neutral,1,2,3,4,26-34,Democrat,Moderate,,,,,,Agree,Neither Agree nor Disagree,,,,,Agree,Strongly Agree,,,,,,,,,,,,,Slightly familiar,Moderately familiar,1,2,3,4,Male,2-year College Degree,"Management, professional, and related ","Single, never married",New York,40.602401733398,-73.763702392578,-1,
R_9RmDLdeOrjsEn8B,Default Response Set,Anonymous,,,75.183.81.213,0,2016-04-04 09:02:28,2016-04-04 09:10:04,1,2330271,1,2,3,4,Positive,Positive,Neutral,1,2,3,4,45-54,Republican,Moderate,,,,,,,,,,,,,,,,,,Disagree,Neither Agree nor Disagree,,,,,Agree,Strongly Agree,Extremely familiar,Extremely familiar,1,2,3,4,Male,4-year College Degree,"Management, professional, and related ",Divorced,North Carolina,35.955703735352,-80.005302429199,-1,
R_1E6y4CnrdyZiHy2,Default Response Set,Anonymous,,,98.14.170.194,0,2016-04-04 09:08:11,2016-04-04 09:10:46,1,3463753,1,2,3,4,Positive,Positive,Positive,1,2,3,4,35-44,Republican,Moderate,,,,,,Neither Agree nor Disagree,Agree,,,,,Agree,Agree,,,,,,,,,,,,,Moderately familiar,Moderately familiar,1,2,3,4,Female,4-year College Degree,Service ,"Single, never married",New York,40.735397338867,-73.878303527832,-1,
R_1EXSBEuYUxgyFfg,Default Response Set,Anonymous,,,69.122.255.210,0,2016-04-04 09:11:22,2016-04-04 09:12:21,1,8374415,1,2,3,4,Neutral,Neutral,Neutral,1,2,3,4,35-44,Republican,Moderate,,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,,,,,,,,,,,,,Moderately familiar,Moderately familiar,1,2,3,4,Female,Masters Degree,Other,Married with children,New Jersey,40.278701782227,-74.368301391602,-1,
R_3jU7yrBHP0573wH,Default Response Set,Anonymous,,,80.101.212.2,0,2016-04-04 09:11:03,2016-04-04 09:13:40,1,8881049,1,2,3,4,Positive,Positive,Positive,1,2,3,4,35-44,Independent,,Republican,,,,,,,,,,,,,,,,,Agree,Agree,,,,,Agree,Agree,Very familiar,Very familiar,1,2,3,4,Male,Masters Degree,"Management, professional, and related ",Married with children,California,52.071395874023,4.2823028564453,-1,
R_3NzbC0icraJIw3B,Default Response Set,Anonymous,,,73.246.83.194,0,2016-04-04 09:12:12,2016-04-04 09:14:47,1,9438138,1,2,3,4,Negative,Neutral,Negative,1,2,3,4,45-54,Republican,Strong,,,,,,,,,,,,,,,,,,Disagree,Disagree,,,,,Agree,Agree,Moderately familiar,Very familiar,1,2,3,4,Female,4-year College Degree,Service ,Married with children,Illinois,41.787002563477,-88.083297729492,-1,
R_YcwzCqCyhleaThD,Default Response Set,Anonymous,,,107.214.204.47,0,2016-04-04 09:19:15,2016-04-04 09:22:08,1,8549483,1,2,3,4,Neutral,Neutral,Neutral,1,2,3,4,55-64,Democrat,Moderate,,,,,,Agree,Agree,,,,,Agree,Agree,,,,,,,,,,,,,Slightly familiar,Slightly familiar,1,2,3,4,Female,4-year College Degree,Retired,Divorced,Michigan,42.953598022461,-85.657600402832,-1,
R_3fkqQkyM92U9UaT,Default Response Set,Anonymous,,,100.13.5.142,0,2016-04-04 09:18:06,2016-04-04 09:23:18,1,2658322,1,2,3,4,Positive,Positive,Positive,1,2,3,4,35-44,Independent,,Democrat,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,,,,,,,,,,,,,Moderately familiar,Moderately familiar,1,2,3,4,Female,Masters Degree,Unemployed,Married with children,Florida,28.08219909668,-82.523902893066,-1,
R_3IWEzGPITwujtEj,Default Response Set,Anonymous,,,96.240.137.133,0,2016-04-04 09:28:17,2016-04-04 09:33:03,1,5500532,1,2,3,4,Neutral,Neutral,Neutral,1,2,3,4,26-34,Independent,,Democrat,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,,,,,,,,,,,,,Moderately familiar,Moderately familiar,1,2,3,4,Female,4-year College Degree,Unemployed,Married without children,Virginia,39.045593261719,-77.385299682617,-1,
R_d1lgIgKnFNPPb3P,Default Response Set,Anonymous,,,144.160.226.91,0,2016-04-04 09:32:48,2016-04-04 09:34:22,1,1383374,1,2,3,4,Positive,Positive,Positive,1,2,3,4,26-34,Independent,,Republican,,,,,Agree,Agree,,,,,Disagree,Disagree,,,,,,,,,,,,,Extremely familiar,Extremely familiar,1,2,3,4,Male,Masters Degree,"Management, professional, and related ",Married without children,North Carolina,40.459197998047,-74.302001953125,-1,
R_2D6uPSO5Ou4a6ZV,Default Response Set,Anonymous,,,144.160.226.91,0,2016-04-04 09:32:58,2016-04-04 09:35:09,1,73827,1,2,3,4,Positive,Positive,Positive,1,2,3,4,26-34,Democrat,Moderate,,,,,,,,,,,,,,,,,,Disagree,Disagree,,,,,Agree,Agree,Extremely familiar,Extremely familiar,1,2,3,4,Female,Doctoral Degree,Service ,Married without children,North Carolina,40.459197998047,-74.302001953125,-1,
